1,Id,Name,Address,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,Date 1st Tx,Date last Tx,Lifetime,Sources
2,1,Government,0xf45717552f12ef7cb65e95476f217ea008167ae3,723,846,2938.8861,2938.8861,"$36,312","$42,396",40,27,2016-03-08,2017-03-20,377,
3,2,EthereumPyramid,0x7011f3edc7fa43c81440f9f43a6458174113b162,970,338,986.0811757,916.7811757,"$4,929","$5,178",326,124,2015-09-07,2017-09-15,739,
4,3,ProtectTheCastle2,0x7d56485e026d5d3881f778e99969d2b1f90c50af,765,757,1144.036899,1137.901267,"$12,737","$12,761",98,65,2016-03-20,2017-01-29,315,
5,4,TreasureChest,0x4865e85c72a27ca6c362da75ba6707c07464b953,73,1197,87.55649206,87.38955156,$953,$949,16,10,2016-03-26,2016-04-07,12,
6,5,ZeroPonzi,0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,626,499,4489.650502,4489.177096,"$50,867","$50,857",46,28,2016-04-04,2016-04-06,2,
7,6,Ethstick,0xba6284ca128d72b25f1353fadd06aa145d9095af,229,360,788.8097667,788.1477684,"$8,157","$8,142",45,17,2016-04-06,2016-06-16,71,
8,7,Doubler2,0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,381,161,4857.652036,4825.316506,"$25,432","$25,306",210,68,2016-02-16,2017-09-12,574,
9,8,DynamicPyramid,0xa9e4e3b1da2462752aea980698c335e70e9ab26c,421,143,7474.185568,7437.20649,"$83,231","$82,704",174,51,2016-02-23,2017-09-16,571,
10,9,Etheramid1,0x9758da9b4d001ed2d0df46d25069edf53750767a,111,382,110,110,$935,$935,103,41,2016-04-14,2016-05-11,27,
11,10,DianaEthereum-x1.8,0xca7c390f8f843a8c3036841fde755e5d0acb97da,281,167,5307.419102,5303.539175,"$63,130","$63,105",129,84,2016-03-08,2017-08-25,535,
12,11,Rubixi,0xe82719202e5965cf5d9b6673b7503a3b92de20be,632,62,1367.042796,1363.039531,"$16,726","$16,606",99,24,2016-03-14,2017-09-16,551,
13,12,PiggyBank2,0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,348,194,315.9363725,313.3908741,"$3,563","$3,508",38,35,2016-03-22,2017-09-12,539,
14,13,LittleCactus,0x1213c29b5e1a6f33e0d044f850a57b665e3cde21,121,197,806.7036668,803.2652621,"$8,689","$8,567",50,37,2016-03-31,2016-04-28,28,
15,14,WealthRedistributionProject,0x3325439082ff8ba7371dfdaa1af297bbfcac21b2,25,213,41.10283299,40.10283299,$472,$460,18,17,2016-04-02,2016-04-09,7,
16,15,GreedPit,0x446d1696a5527018453cda3d67aa4c2cd189b9f6,358,66,918.0338462,895.1777655,"$10,418","$10,194",61,13,2016-03-27,2016-10-14,201,
17,16,Etheramid2,0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,106,7,2,2,$78,$78,2,6,2016-05-11,2017-04-28,352,
