1,Id,Name,Date 1st Tx,Date last Tx,Lifetime
116,115,Tanya2,2016-08-24,2016-08-25,1
117,116,DividendProfit1,2016-04-11,2016-04-12,1
118,117,Fairandeasy2,2016-04-07,2016-04-08,1
119,118,Timegame2,2016-04-10,2016-04-11,1
120,119,BestBankwithInterest,2016-11-24,2016-11-25,1
121,120,FreeEtherADayFundsReturn,2016-11-30,2016-12-01,1
122,121,SwarmRedistribution2,2017-01-01,2017-01-02,1
123,122,Unnamed 16,2016-02-29,2016-03-01,1
124,123,SmallPonzi2,2016-04-06,2016-04-06,0
125,124,The10ETHPyramid2,2016-04-04,2016-04-04,0
126,125,ResetPonzi1,2016-04-06,2016-04-06,0
127,126,ResetPonzi3,2016-04-06,2016-04-06,0
128,127,Fresh,2016-04-20,2016-04-20,0
129,128,ResetPonzi2,2016-04-06,2016-04-06,0
130,129,NiceGuyPonzi2,2016-04-06,2016-04-06,0
131,130,Quick2,2016-04-08,2016-04-08,0
132,131,Doubleyour5,2016-04-08,2016-04-08,0
133,132,BalancedPonzi1,2016-04-06,2016-04-06,0
134,133,ResetPonzi8,2016-04-06,2016-04-06,0
135,134,BalancedPonzi2,2016-04-06,2016-04-06,0
136,135,CrystalDoubler,2016-04-14,2016-04-14,0
137,136,CrazyEarning,2016-04-05,2016-04-05,0
138,137,NotAnotherPonzi,2016-04-04,2016-04-04,0
139,138,Test,2016-04-09,2016-04-09,0
140,139,TwoAndAHalfPonzi,2016-04-05,2016-04-05,0
141,140,FastRealisticPyramid2,2016-03-29,2016-03-29,0
142,141,ProtectTheCastle1,2016-04-20,2016-04-20,0
143,142,Timegame3,2016-04-10,2016-04-10,0
144,143,EtherAds,2016-04-17,2016-04-17,0
145,144,Doubler1,2016-08-03,2016-08-03,0
146,145,EthVenturePlugin,2016-04-11,2016-04-11,0
147,146,squareRootPonzi,2016-04-15,2016-04-15,0
148,147,BankWithInterest,2016-11-24,2016-11-24,0
149,148,BetterBankWithInterest,2016-11-24,2016-11-24,0
150,149,BigRisk1,2016-07-25,2016-07-25,0
151,150,Coinflip,2016-04-09,2016-04-09,0
152,151,Copypaste,2016-04-07,2016-04-07,0
153,152,LittleEthereumDoubler,2016-04-28,2016-04-28,0
154,153,NiceGuyPonzi1,2016-04-06,2016-04-06,0
155,154,NiceGuyTax1,2016-04-09,2016-04-09,0
156,155,NiceGuyTax2,2016-04-09,2016-04-09,0
157,156,NiceGuyTax3,2016-04-09,2016-04-09,0
158,157,PlusOnePonzi2,2016-04-05,2016-04-05,0
159,158,ResetPonzi4,2016-04-06,2016-04-06,0
160,159,ResetPonzi5,2016-04-06,2016-04-06,0
161,160,ResetPonzi6,2016-04-06,2016-04-06,0
162,161,ResetPonzi7,2016-04-06,2016-04-06,0
163,162,ResetPonzi9,2016-04-06,2016-04-06,0
164,163,Thewhalegame2,2016-04-09,2016-04-09,0
165,164,x15,2016-04-05,2016-04-05,0
166,165,NanoPyramid1,2016-04-16,2016-04-16,0
167,166,SwarmRedistribution3,2017-01-01,2017-01-01,0
168,167,SwarmRedistribution4,2016-12-31,2016-12-31,0
169,168,SwarmRedistribution5,2016-12-31,2016-12-31,0
170,169,SwarmRedistribution6,2016-12-31,2016-12-31,0
171,170,X15,2016-02-19,2016-02-19,0
172,171,Ai,2016-05-02,2016-05-02,0
173,172,Multi33v,2016-02-22,2016-02-22,0
174,173,Unnamed 1,2016-04-07,2016-04-07,0
