1,Id,Name,Address,Type,In Tx,Out Tx,In ETH,Out ETH,In USD,Out USD,Paying,Paid,,,,,,,,,,,,,,,,
55,58,BalancedPonzi1,0x09515cb5e3acaef239ab83d78b2f3e3764fcab9b,chain-shaped,7,9,45,45,$486,$485.55,2,3,,,,,,,,,,,,,,,,
56,59,ResetPonzi8,0xb1d58bad78f33892719cdeba218f8641a71a3f05,chain-shaped,6,8,45,44,$486,$474.76,3,4,,,,,,,,,,,,,,,,
57,60,X3,0xbb9854bfd082c48b4d426ac6a2a152b01326f46f,chain-shaped,11,3,16,14,$168,$147.00,3,3,,,,,,,,,,,,,,,,
58,61,BalancedPonzi2,0x55d035ba1f4ae932cf98125b93d830d9858cd39f,chain-shaped,6,6,27.001,27.001,$291,$291.34,3,3,,,,,,,,,,,,,,,,
59,62,EthVentures3,0x43e49c79172a1be3ebb4240da727c0da0fa5d233,chain-shaped,226,5,34,34,$343,$331.28,3,1,,,,,,,,,,,,,,,,
60,63,CrystalDoubler,0x51170b18bca7896b49c52dcc18e66e5c921e100f,chain-shaped,5,5,7.595,6,$64,$50.88,4,1,,,,,,,,,,,,,,,,
61,64,DepositHolder2,0x687a241422c92e3d15ce6a02c832f800b74c8b3c,chain-shaped,228,2,51,51,$581,$580.89,1,1,,,,,,,,,,,,,,,,
62,65,BigRisk2,0x2a53f42ad8bba138c21b50a4e5711f18381a61e9,chain-shaped,7,2,600,600,"$5,892","$6,288.00",3,2,,,,,,,,,,,,,,,,
63,66,SmartRevshare1,0x49c3019b7a83b3c77a823255533975969027308d,chain-shaped,209,1,0.015,0.015,$0,$0.13,2,1,,,,,,,,,,,,,,,,
64,67,StackyGame,0x8f13a1d43408b6434dd10e161361386f3952d665,chain-shaped,10,2,0.04,0.0305,$1,$0.57,1,2,,,,,,,,,,,,,,,,
65,68,CrazyEarning,0xa259e6bcade86c770cb5214c789ee107662831a6,chain-shaped,4,4,1.318818265,1.255479142,$14,$13.04,2,1,,,,,,,,,,,,,,,,
66,69,FirePonzi,0x062524205ca7ecf27f4a851edec93c7ad72f427b,chain-shaped,6,2,0.25,0.165,$2,$1.51,2,1,,,,,,,,,,,,,,,,
67,70,FivePercent,0x49f053b866c33185fa1151e71fc80d5fe6b08a92,chain-shaped,5,3,2.222263116,2.207376272,$25,$23.43,2,2,,,,,,,,,,,,,,,,
68,71,NotAnotherPonzi,0x5a437d94843541d5cb83221a4a4b253de30b97b7,chain-shaped,5,2,0.2,0.135,$2,$1.50,2,2,,,,,,,,,,,,,,,,
69,72,EthFactory,0xc357a046c5c13bb4e6d918a208b8b4a0ab2f2efd,chain-shaped,5,2,1.5900001,1.59,$12,$11.68,3,1,,,,,,,,,,,,,,,,
70,74,Test,0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,chain-shaped,6,3,7,7,$64,$64.12,3,2,,,,,,,,,,,,,,,,
71,76,Dividend,0x0389a06b028526b05966c287370bebefa0082176,chain-shaped,204,1,0.021,0.021,$0,$0.16,2,1,,,,,,,,,,,,,,,,
72,79,EthVentures1,0x1ff3f56609d0771abb49566600febade0e708beb,chain-shaped,223,2,2,2,$20,$20.16,1,1,,,,,,,,,,,,,,,,
73,80,EthVentures2,0x99d982e49bcb5465a6b4c1e0ec4341c912d9ba42,chain-shaped,250,2,5.01,5.01,$51,$50.50,1,1,,,,,,,,,,,,,,,,
74,81,EthVenturesFinal2,0x41f2d5040726c5328f8366f17041ec012ac8f338,chain-shaped,7,2,2.01,2.01,$20,$19.58,1,1,,,,,,,,,,,,,,,,
75,82,TwoAndAHalfPonzi,0x89c2352cb600df56fe4bfb5882caadef3e96213f,chain-shaped,4,1,3.003,2.5,$31,$25.98,3,1,,,,,,,,,,,,,,,,
76,83,EthVentures4,0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,chain-shaped,29,0,34,0,$331,$0.00,2,0,,,,,,,,,,,,,,,,
77,84,Tomeka,0x24ec083b6a022099003e3d035fed48b9a58296e5,chain-shaped,53,0,1.536,0,$21,$0.00,4,0,,,,,,,,,,,,,,,,
78,85,Fairandeasy2,0xf70ce1be9685b0cfb531bc712d3faace858b5bfb,chain-shaped,4,0,0.26,0,$3,$0.00,2,0,,,,,,,,,,,,,,,,
79,86,FastRealisticPyramid2,0x19a6067538c90973ef5dc31ded5fa567f3d09059,chain-shaped,3,1,0.2,0.2,$2,$2.35,1,1,,,,,,,,,,,,,,,,
80,87,ProtectTheCastle1,0x8d734806913e445ee1be523aa0e84e4664fff481,chain-shaped,2,1,0,0,$0,$0.00,0,0,,,,,,,,,,,,,,,,
81,88,Timegame2,0x4398a4a10347d8f18029c07853a7a689eebbb925,chain-shaped,2,1,25.1,25.1,$219,$218.87,1,1,,,,,,,,,,,,,,,,
82,89,Timegame3,0x7fcc7ed28c99f64f721be410ad816247925aade8,chain-shaped,2,1,25.1,25.1,$221,$220.88,1,1,,,,,,,,,,,,,,,,
