Address, In Tx, Out Tx, In ETH, Out ETH, In USD, Out USD, Paying, Paid, date 1st tx, date last tx
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,29,0,34.0,0.0,331.16,0.0,2,0,2016-04-08,2019-01-23
0x02b2101903eb6a51518e63e84b785180859fda9d,18,24,134.53900000000002,134.51787000000002,1222.64176,1222.4482128,4,4,2016-04-09,2016-04-10
0x0389a06b028526b05966c287370bebefa0082176,204,1,0.021,0.021,0.18312000000000003,0.15834,2,1,2016-04-11,2016-10-15
